department,contact_type,is_female,is_black,is_hispanic,is_urm
Boston University-Computer Science,seminar_contact,1.0,0.0,0.0,0.0
University of South Carolina-Mathematics,department_chair,0.0,0.0,0.0,0.0
Massachusetts Institute of Technology-Mathematics,faculty,0.0,0.0,0.0,0.0
"University of California, San Diego-Mathematics",faculty,0.0,0.0,0.0,0.0
Rutgers University-New Brunswick-Mechanical Engineering,faculty,0.0,0.0,0.0,0.0
University of Hawaii at Manoa-Physics,faculty,1.0,0.0,0.0,0.0
Ohio University-Physics,seminar_contact,,,,
University of Memphis-Physics,faculty,0.0,0.0,1.0,1.0
University of Virginia-Mathematics,faculty,0.0,0.0,0.0,0.0
Cornell University-Mathematics,faculty,0.0,0.0,1.0,1.0
Louisiana State University-Physics,seminar_contact,1.0,0.0,0.0,0.0
University of Michigan-Computer Science,seminar_contact,1.0,0.0,0.0,0.0
Ohio University-Physics,faculty,0.0,0.0,0.0,0.0
University of Central Florida-Mathematics,department_chair,0.0,0.0,0.0,0.0
University of Chicago-Computer Science,seminar_contact,1.0,0.0,0.0,0.0
"University of Maryland, College Park-Mathematics",faculty,0.0,0.0,0.0,0.0
University of Michigan-Computer Science,seminar_contact,1.0,0.0,0.0,0.0
Texas A&M University-Mathematics,faculty,0.0,0.0,0.0,0.0
Stanford University-Chemistry,seminar_contact,0.0,0.0,0.0,0.0
Cornell University-Chemistry,department_chair,0.0,0.0,0.0,0.0
University of Massachusetts Amherst-Mathematics,faculty,0.0,0.0,0.0,0.0
"University of Maryland, College Park-Mathematics",faculty,0.0,0.0,0.0,0.0
"University of Nevada, Las Vegas-Physics",department_chair,0.0,0.0,0.0,0.0
University of Denver-Mathematics,faculty,1.0,0.0,0.0,0.0
Columbia University-Mathematics,seminar_contact,1.0,0.0,0.0,0.0
University of Michigan-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Florida-Physics,department_chair,0.0,0.0,0.0,0.0
George Mason University-Mathematics,department_chair,1.0,0.0,0.0,0.0
Brown University-Mathematics,faculty,1.0,0.0,0.0,0.0
University of Michigan-Computer Science,faculty,0.0,0.0,0.0,0.0
Texas A&M University-Mathematics,faculty,0.0,0.0,0.0,0.0
Mississippi State University-Chemistry,department_chair,1.0,0.0,0.0,0.0
Carnegie Mellon University-Computer Science,department_chair,0.0,0.0,0.0,0.0
Ohio State University-Chemistry,department_chair,1.0,0.0,1.0,1.0
Boston University-Physics,seminar_contact,1.0,0.0,0.0,0.0
"University of California, Irvine-Mechanical Engineering",department_chair,0.0,0.0,1.0,1.0
University of Virginia-Mathematics,faculty,1.0,0.0,0.0,0.0
University of Michigan-Computer Science,faculty,0.0,0.0,0.0,0.0
University of Chicago-Computer Science,department_chair,0.0,0.0,0.0,0.0
Stony Brook University-Chemistry,seminar_contact,1.0,0.0,1.0,1.0
Emory University-Chemistry,seminar_contact,1.0,1.0,0.0,1.0
University of Tennessee-Mathematics,faculty,1.0,0.0,0.0,0.0
Georgia Institute of Technology-Mechanical Engineering,seminar_contact,1.0,0.0,0.0,0.0
New Jersey Institute of Technology-Mathematics,seminar_contact,1.0,0.0,0.0,0.0
University of Chicago-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Louisville-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Louisville-Computer Science,seminar_contact,1.0,0.0,0.0,0.0
California Institute of Technology-Mathematics,faculty,0.0,0.0,0.0,0.0
Mississippi State University-Physics,faculty,0.0,0.0,0.0,0.0
"University of California, Los Angeles-Physics",department_chair,0.0,0.0,0.0,0.0
New York University-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Oklahoma-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Wisconsin-Madison-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Texas at Dallas-Mathematics,faculty,0.0,0.0,0.0,0.0
Columbia University-Mechanical Engineering,department_chair,0.0,0.0,0.0,0.0
Stanford University-Mathematics,faculty,1.0,0.0,0.0,0.0
"University of Maryland, College Park-Mathematics",faculty,1.0,0.0,0.0,0.0
Harvard University-Mechanical Engineering,seminar_contact,0.0,0.0,0.0,0.0
"University of California, Davis-Mathematics",faculty,0.0,0.0,0.0,0.0
University of Wisconsin-Madison-Chemistry,seminar_contact,,,,
Princeton University-Mechanical Engineering,department_chair,1.0,0.0,0.0,0.0
University of Texas at Arlington-Chemistry,seminar_contact,1.0,0.0,0.0,0.0
Brown University-Physics,department_chair,1.0,0.0,0.0,0.0
Texas A&M University-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Michigan-Mathematics,faculty,1.0,0.0,0.0,0.0
University of Virginia-Physics,department_chair,1.0,0.0,0.0,0.0
Rensselaer Polytechnic Institute-Chemistry,department_chair,0.0,0.0,1.0,1.0
Columbia University-Mathematics,faculty,0.0,0.0,0.0,0.0
New Jersey Institute of Technology-Physics,faculty,0.0,0.0,0.0,0.0
"University of California, Santa Barbara-Chemistry",seminar_contact,1.0,0.0,0.0,0.0
Mississippi State University-Mathematics,department_chair,0.0,0.0,0.0,0.0
University of South Carolina-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Cincinnati-Mechanical Engineering,department_chair,1.0,0.0,0.0,0.0
Auburn University-Mathematics,department_chair,0.0,1.0,0.0,1.0
University of Washington-Computer Science,department_chair,1.0,0.0,0.0,0.0
Cornell University-Computer Science,faculty,0.0,0.0,0.0,0.0
Pennsylvania State University-Physics,department_chair,0.0,0.0,1.0,1.0
Florida State University-Physics,seminar_contact,0.0,0.0,1.0,1.0
University of South Florida-Computer Science,faculty,0.0,0.0,0.0,0.0
Rice University-Chemistry,seminar_contact,0.0,0.0,0.0,0.0
Pennsylvania State University-Chemistry,department_chair,0.0,0.0,0.0,0.0
University of Massachusetts Amherst-Mathematics,department_chair,0.0,0.0,0.0,0.0
University of New Hampshire-Physics,faculty,1.0,0.0,0.0,0.0
"University of California, Berkeley-Chemistry",department_chair,0.0,0.0,0.0,0.0
University of Colorado Boulder-Mathematics,faculty,0.0,0.0,0.0,0.0
Cornell University-Computer Science,seminar_contact,1.0,0.0,0.0,0.0
Duke University-Computer Science,seminar_contact,0.0,0.0,0.0,0.0
Cornell University-Mechanical Engineering,seminar_contact,1.0,1.0,0.0,1.0
Johns Hopkins University-Mathematics,seminar_contact,0.0,0.0,0.0,0.0
Wayne State University-Computer Science,department_chair,0.0,0.0,0.0,0.0
"University of California, Berkeley-Computer Science",seminar_contact,0.0,0.0,0.0,0.0
University of Nebraska-Lincoln-Physics,department_chair,0.0,0.0,0.0,0.0
Northeastern University-Mathematics,faculty,0.0,0.0,0.0,0.0
Vanderbilt University-Mechanical Engineering,department_chair,0.0,0.0,0.0,0.0
West Virginia University-Physics,department_chair,1.0,0.0,0.0,0.0
Mississippi State University-Physics,department_chair,0.0,0.0,0.0,0.0
University of Alabama-Mechanical Engineering,seminar_contact,1.0,1.0,0.0,1.0
"University of California, Davis-Mathematics",department_chair,0.0,0.0,0.0,0.0
University of Alabama-Physics,faculty,0.0,0.0,0.0,0.0
"Graduate Center, CUNY-Mathematics",faculty,0.0,0.0,0.0,0.0
Binghamton University-Mechanical Engineering,seminar_contact,1.0,0.0,0.0,0.0
University of Illinois Chicago-Physics,department_chair,0.0,0.0,0.0,0.0
Tulane University-Mathematics,faculty,0.0,0.0,0.0,0.0
Arizona State University-Physics,faculty,1.0,0.0,0.0,0.0
Columbia University-Mathematics,faculty,0.0,0.0,0.0,0.0
Emory University-Chemistry,department_chair,0.0,0.0,0.0,0.0
Washington State University-Mathematics,faculty,1.0,0.0,0.0,0.0
Emory University-Mathematics,seminar_contact,0.0,0.0,0.0,0.0
University of Connecticut-Mathematics,faculty,0.0,0.0,0.0,0.0
Baylor University-Chemistry,department_chair,0.0,0.0,0.0,0.0
University of Memphis-Chemistry,department_chair,0.0,0.0,0.0,0.0
University of Chicago-Chemistry,department_chair,0.0,0.0,0.0,0.0
George Mason University-Computer Science,department_chair,0.0,0.0,0.0,0.0
University of Pennsylvania-Computer Science,department_chair,0.0,0.0,0.0,0.0
Arizona State University-Physics,faculty,0.0,0.0,0.0,0.0
Florida International University-Physics,seminar_contact,1.0,0.0,1.0,1.0
University of Utah-Mathematics,faculty,0.0,0.0,0.0,0.0
Georgia State University-Physics,faculty,0.0,0.0,0.0,0.0
Tulane University-Mathematics,department_chair,0.0,0.0,0.0,0.0
North Carolina State University-Mathematics,seminar_contact,1.0,0.0,0.0,0.0
University of Louisville-Computer Science,department_chair,0.0,0.0,0.0,0.0
University of Chicago-Chemistry,seminar_contact,0.0,0.0,0.0,0.0
North Dakota State University-Physics,department_chair,0.0,0.0,0.0,0.0
"University of California, Berkeley-Chemistry",seminar_contact,0.0,0.0,0.0,0.0
Louisiana State University-Physics,department_chair,0.0,1.0,0.0,1.0
University of Florida-Mathematics,seminar_contact,0.0,0.0,0.0,0.0
North Carolina State University-Computer Science,department_chair,0.0,0.0,0.0,0.0
University of Houston-Mathematics,faculty,0.0,0.0,0.0,0.0
Ohio State University-Mathematics,faculty,0.0,0.0,0.0,0.0
Kansas State University-Mathematics,department_chair,0.0,0.0,0.0,0.0
New York University-Mathematics,faculty,1.0,0.0,0.0,0.0
University of Rochester-Physics,seminar_contact,1.0,0.0,0.0,0.0
Montana State University-Chemistry,department_chair,1.0,0.0,0.0,0.0
Ohio State University-Mathematics,faculty,1.0,0.0,1.0,1.0
University of Wisconsin-Madison-Physics,faculty,0.0,0.0,0.0,0.0
"University of Maryland, College Park-Mathematics",faculty,0.0,0.0,0.0,0.0
University of Texas at San Antonio-Chemistry,seminar_contact,,,,
Rutgers University-New Brunswick-Physics,seminar_contact,1.0,0.0,0.0,0.0
"University of California, Irvine-Mathematics",department_chair,1.0,0.0,0.0,0.0
Harvard University-Physics,seminar_contact,0.0,0.0,0.0,0.0
University of Oklahoma-Mathematics,faculty,0.0,0.0,0.0,0.0
Boston University-Computer Science,faculty,1.0,0.0,0.0,0.0
University of Connecticut-Mathematics,department_chair,0.0,0.0,0.0,0.0
Michigan State University-Physics,seminar_contact,1.0,0.0,0.0,0.0
"University of California, Davis-Physics",seminar_contact,0.0,0.0,0.0,0.0
University of Colorado Boulder-Physics,faculty,0.0,0.0,0.0,0.0
University of New Mexico-Mathematics,faculty,0.0,0.0,0.0,0.0
"University of California, Berkeley-Physics",department_chair,0.0,0.0,0.0,0.0
University of Minnesota-Physics,department_chair,0.0,0.0,0.0,0.0
Emory University-Physics,faculty,0.0,0.0,0.0,0.0
Massachusetts Institute of Technology-Chemistry,seminar_contact,1.0,0.0,0.0,0.0
Utah State University-Mechanical Engineering,department_chair,0.0,0.0,0.0,0.0
Cornell University-Computer Science,department_chair,1.0,0.0,0.0,0.0
Florida State University-Physics,department_chair,0.0,0.0,1.0,1.0
Indiana University Bloomington-Mathematics,department_chair,0.0,0.0,0.0,0.0
University of Alabama-Chemistry,department_chair,0.0,0.0,0.0,0.0
Johns Hopkins University-Mathematics,department_chair,0.0,0.0,0.0,0.0
Rutgers University-New Brunswick-Mathematics,faculty,1.0,0.0,0.0,0.0
Binghamton University-Mathematics,faculty,0.0,0.0,0.0,0.0
Kansas State University-Physics,department_chair,0.0,0.0,0.0,0.0
"University of California, Santa Barbara-Physics",department_chair,0.0,0.0,0.0,0.0
Cornell University-Computer Science,seminar_contact,1.0,0.0,1.0,1.0
Rutgers University-New Brunswick-Mathematics,faculty,0.0,0.0,0.0,0.0
Rutgers University-New Brunswick-Physics,faculty,0.0,0.0,0.0,0.0
University of Denver-Chemistry,department_chair,0.0,0.0,0.0,0.0
University of Houston-Chemistry,department_chair,0.0,0.0,0.0,0.0
Columbia University-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Tennessee-Chemistry,seminar_contact,1.0,0.0,0.0,0.0
University of Wisconsin-Madison-Mathematics,faculty,0.0,0.0,0.0,0.0
"University of California, San Diego-Mechanical Engineering",department_chair,0.0,0.0,0.0,0.0
Boston University-Mathematics,department_chair,0.0,0.0,0.0,0.0
University of Cincinnati-Mathematics,department_chair,0.0,0.0,0.0,0.0
Rutgers University-New Brunswick-Physics,faculty,0.0,0.0,0.0,0.0
Kansas State University-Chemistry,seminar_contact,1.0,0.0,0.0,0.0
University of Illinois Urbana-Champaign-Chemistry,department_chair,0.0,0.0,0.0,0.0
University of Southern California-Mathematics,department_chair,0.0,0.0,0.0,0.0
George Mason University-Mathematics,seminar_contact,1.0,0.0,0.0,0.0
Stanford University-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Delaware-Computer Science,department_chair,0.0,0.0,0.0,0.0
University of Michigan-Computer Science,department_chair,0.0,0.0,0.0,0.0
University of South Carolina-Chemistry,seminar_contact,0.0,0.0,0.0,0.0
Rutgers University-New Brunswick-Chemistry,seminar_contact,1.0,0.0,0.0,0.0
Virginia Commonwealth University-Physics,department_chair,0.0,0.0,0.0,0.0
Texas Tech University-Computer Science,faculty,0.0,0.0,0.0,0.0
University of Denver-Physics,department_chair,0.0,0.0,0.0,0.0
University of Delaware-Physics,department_chair,0.0,0.0,0.0,0.0
George Washington University-Chemistry,seminar_contact,0.0,0.0,0.0,0.0
"University of California, Davis-Mathematics",seminar_contact,0.0,0.0,0.0,0.0
Columbia University-Mathematics,seminar_contact,0.0,0.0,0.0,0.0
Cornell University-Physics,department_chair,0.0,0.0,0.0,0.0
University of Texas at San Antonio-Physics,department_chair,1.0,0.0,0.0,0.0
University of Texas at San Antonio-Chemistry,department_chair,1.0,0.0,0.0,0.0
Utah State University-Mechanical Engineering,seminar_contact,1.0,0.0,0.0,0.0
University of Virginia-Chemistry,seminar_contact,,,,
Purdue University-Computer Science,department_chair,0.0,0.0,0.0,0.0
Arizona State University-Chemistry,department_chair,1.0,0.0,0.0,0.0
Brown University-Chemistry,seminar_contact,1.0,0.0,0.0,0.0
Cornell University-Mathematics,faculty,0.0,0.0,0.0,0.0
University of South Florida-Computer Science,department_chair,0.0,0.0,0.0,0.0
Boston College-Mathematics,faculty,0.0,0.0,0.0,0.0
New York University-Computer Science,faculty,0.0,0.0,0.0,0.0
University of Central Florida-Physics,seminar_contact,1.0,1.0,0.0,1.0
Florida State University-Chemistry,seminar_contact,1.0,0.0,0.0,0.0
"University of Maryland, College Park-Computer Science",faculty,0.0,0.0,0.0,0.0
University of Colorado Boulder-Mechanical Engineering,department_chair,0.0,0.0,0.0,0.0
Ohio State University-Physics,seminar_contact,,,,
University of Pittsburgh-Computer Science,department_chair,0.0,0.0,0.0,0.0
Massachusetts Institute of Technology-Physics,seminar_contact,1.0,0.0,0.0,0.0
Virginia Commonwealth University-Mathematics,faculty,1.0,0.0,0.0,0.0
University of Kentucky-Physics,department_chair,0.0,0.0,0.0,0.0
University of Arkansas-Chemistry,department_chair,0.0,0.0,0.0,0.0
Texas A&M University-Mathematics,faculty,0.0,0.0,0.0,0.0
Florida State University-Mathematics,faculty,0.0,0.0,0.0,0.0
Rutgers University-New Brunswick-Physics,faculty,1.0,0.0,0.0,0.0
Syracuse University-Chemistry,department_chair,0.0,0.0,0.0,0.0
University of Wisconsin-Madison-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Alabama-Mathematics,seminar_contact,0.0,0.0,0.0,0.0
University at Buffalo-Physics,department_chair,0.0,0.0,0.0,0.0
Georgia State University-Chemistry,department_chair,0.0,0.0,0.0,0.0
Syracuse University-Chemistry,seminar_contact,1.0,0.0,0.0,0.0
Texas A&M University-Computer Science,seminar_contact,1.0,0.0,0.0,0.0
Kansas State University-Mathematics,faculty,1.0,0.0,0.0,0.0
"University of California, San Diego-Physics",department_chair,0.0,0.0,0.0,0.0
University of Oregon-Mathematics,department_chair,0.0,0.0,0.0,0.0
North Carolina State University-Physics,seminar_contact,1.0,0.0,0.0,0.0
University of Kansas-Chemistry,seminar_contact,1.0,0.0,0.0,0.0
Massachusetts Institute of Technology-Mechanical Engineering,department_chair,0.0,0.0,0.0,0.0
Colorado School of Mines-Mathematics,department_chair,0.0,0.0,0.0,0.0
University of Houston-Mathematics,faculty,0.0,0.0,0.0,0.0
